Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed,Bacterium
1280,1280.29789,Staphylococcus aureus strain HICF0145,cefoxitin,Resistant,,,,,Disk diffusion,,,,EUCAST,2019.0,,,,Laboratory Method,,32025709.0,Staphylococcus aureus
1280,1280.998,Staphylococcus aureus C00013187,ciprofloxacin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.9883,Staphylococcus aureus C00003419,ciprofloxacin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.26093,Staphylococcus aureus ERR124429,ciprofloxacin,Resistant,,,,,Disk diffusion,,,,British Society for Antimicrobial Chemotherapy (BSAC),2011.0,,,,Laboratory Method,,23158674.0,Staphylococcus aureus
1280,1280.29964,Staphylococcus aureus strain HICF0373,erythromycin,Resistant,,,,,Disk diffusion,,,,EUCAST,2019.0,,,,Laboratory Method,,32025709.0,Staphylococcus aureus
1280,1280.1657,Staphylococcus aureus strain AR_0220,cefoxitin,Resistant,>16,>,16,mg/L,Broth dilution,,,,CLSI,,,,,Laboratory Method,,,Staphylococcus aureus
1280,1280.5177,Staphylococcus aureus 14-02100,ciprofloxacin,Susceptible,,,,,Broth dilution,,,,EUCAST,2018.0,,,,Laboratory Method,,33658988.0,Staphylococcus aureus
1280,1280.9832,Staphylococcus aureus C00003272,erythromycin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.8535,Staphylococcus aureus C00003324,ciprofloxacin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.8849,Staphylococcus aureus CGH3_08,tetracycline,Resistant,,,,,Disk diffusion,,,,CLSI,,,,,Laboratory Method,,25903077.0,Staphylococcus aureus
1280,1280.8415,Staphylococcus aureus C00003295,ciprofloxacin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.29785,Staphylococcus aureus strain HICF0128,ciprofloxacin,Resistant,,,,,Disk diffusion,,,,EUCAST,2019.0,,,,Laboratory Method,,32025709.0,Staphylococcus aureus
1280,1280.59567,Staphylococcus aureus CFSA17SA094,ciprofloxacin,Susceptible,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.8739,Staphylococcus aureus C00000819,erythromycin,Resistant,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.5943,Staphylococcus aureus CFSA14SA016,erythromycin,Resistant,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.59352,Staphylococcus aureus CFSA15SA051,erythromycin,Resistant,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.29776,Staphylococcus aureus strain HICF0119,erythromycin,Resistant,,,,,Disk diffusion,,,,EUCAST,2019.0,,,,Laboratory Method,,32025709.0,Staphylococcus aureus
1280,1280.22661,Staphylococcus aureus strain KG-18,erythromycin,,>4,>,4,mg/L,Broth dilution,,,,CLSI,2018.0,,,,Laboratory Method,,31474962.0,Staphylococcus aureus
1280,1280.59273,Staphylococcus aureus CFSA15SA137,tetracycline,Resistant,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.9951,Staphylococcus aureus C00012800,erythromycin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.7432,Staphylococcus aureus C00003284,ciprofloxacin,Resistant,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.9793,Staphylococcus aureus C00003189,tetracycline,Resistant,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.29822,Staphylococcus aureus strain HICF0184,cefoxitin,Resistant,,,,,Disk diffusion,,,,EUCAST,2019.0,,,,Laboratory Method,,32025709.0,Staphylococcus aureus
1280,1280.9374,Staphylococcus aureus WAU_17,tetracycline,Resistant,,,,,Disk diffusion,,,,CLSI,,,,,Laboratory Method,,25903077.0,Staphylococcus aureus
1280,1280.59366,Staphylococcus aureus CFSA15SA038,erythromycin,Susceptible,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.5947,Staphylococcus aureus CFSA12SA010,tetracycline,Resistant,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.29698,Staphylococcus aureus strain HICF0008,ciprofloxacin,Resistant,,,,,Disk diffusion,,,,EUCAST,2019.0,,,,Laboratory Method,,32025709.0,Staphylococcus aureus
1280,1280.11229,Staphylococcus aureus strain 3688STDY6124921,erythromycin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26806258.0,Staphylococcus aureus
1280,1280.9982,Staphylococcus aureus C00013192,tetracycline,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.51748,Staphylococcus aureus 14-02720,ciprofloxacin,Resistant,,,,,Broth dilution,,,,EUCAST,2018.0,,,,Laboratory Method,,33658988.0,Staphylococcus aureus
1280,1280.5189,Staphylococcus aureus 06-00998,tetracycline,Susceptible,,,,,Broth dilution,,,,EUCAST,2018.0,,,,Laboratory Method,,33658988.0,Staphylococcus aureus
1280,1280.11261,Staphylococcus aureus strain 3688STDY6124861,cefoxitin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26806258.0,Staphylococcus aureus
1280,1280.8306,Staphylococcus aureus C00013362,ciprofloxacin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.9992,Staphylococcus aureus C00013213,ciprofloxacin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.9858,Staphylococcus aureus C00003359,tetracycline,Resistant,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.51939,Staphylococcus aureus 09-01718,erythromycin,Susceptible,,,,,Broth dilution,,,,EUCAST,2018.0,,,,Laboratory Method,,33658988.0,Staphylococcus aureus
1280,1280.59331,Staphylococcus aureus CFSA15SA075,erythromycin,Intermediate,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.29875,Staphylococcus aureus strain HICF0266,tetracycline,Susceptible,,,,,Disk diffusion,,,,EUCAST,2019.0,,,,Laboratory Method,,32025709.0,Staphylococcus aureus
1280,1280.51867,Staphylococcus aureus 12-00014,erythromycin,Resistant,,,,,Broth dilution,,,,EUCAST,2018.0,,,,Laboratory Method,,33658988.0,Staphylococcus aureus
1280,1280.39467,Staphylococcus aureus AR-0995,cefoxitin,Resistant,,,,,,,,,clsi,2018.0,,,,Laboratory Method,,31996449.0,Staphylococcus aureus
1280,1280.59764,Staphylococcus aureus CFSA12SA047,erythromycin,Resistant,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.9341,Staphylococcus aureus TTSH2_08,tetracycline,Resistant,,,,,Disk diffusion,,,,CLSI,,,,,Laboratory Method,,25903077.0,Staphylococcus aureus
1280,1280.8152,Staphylococcus aureus C00012825,erythromycin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.59681,Staphylococcus aureus CFSA16SA033,cefoxitin,Susceptible,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.10024,Staphylococcus aureus C00013350,tetracycline,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.8117,Staphylococcus aureus C00012787,erythromycin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.59901,Staphylococcus aureus 11A1450,cefoxitin,Resistant,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.39821,Staphylococcus aureus 4129,ciprofloxacin,Resistant,,,,,Disk diffusion,,,,CLSI,2012.0,,,,Laboratory Method,,29295910.0,Staphylococcus aureus
1280,1280.15923,Staphylococcus aureus strain B26B_160215,erythromycin,Susceptible,,,,,Broth dilution,,VITEK 2,BioMerieux,EUCAST,,,,,Laboratory Method,,28704546.0,Staphylococcus aureus
1280,1280.9351,Staphylococcus aureus TTSH4_01,erythromycin,Resistant,,,,,Disk diffusion,,,,CLSI,,,,,Laboratory Method,,25903077.0,Staphylococcus aureus
1280,1280.59523,Staphylococcus aureus CLSA38,erythromycin,Resistant,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.59662,Staphylococcus aureus CFSA16SA050,ciprofloxacin,Susceptible,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.9236,Staphylococcus aureus 055_04,erythromycin,Resistant,,,,,Disk diffusion,,,,CLSI,,,,,Laboratory Method,,25903077.0,Staphylococcus aureus
1280,1280.51792,Staphylococcus aureus 13-04344,erythromycin,Resistant,,,,,,,,,EUCAST,,,,,Laboratory Method,,28961857.0,Staphylococcus aureus
1280,1280.26094,Staphylococcus aureus ERR108054,tetracycline,Susceptible,,,,,Disk diffusion,,,,British Society for Antimicrobial Chemotherapy (BSAC),2011.0,,,,Laboratory Method,,23158674.0,Staphylococcus aureus
1280,1280.8001,Staphylococcus aureus C00001218,tetracycline,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.59764,Staphylococcus aureus CFSA12SA047,tetracycline,Resistant,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.15887,Staphylococcus aureus strain N04_011214,tetracycline,Resistant,,,,,Broth dilution,,VITEK 2,BioMerieux,EUCAST,,,,,Laboratory Method,,28704546.0,Staphylococcus aureus
1280,1280.15925,Staphylococcus aureus strain W13_311214,tetracycline,,>=16,>=,16,mg/L,Broth dilution,,,BioMerieux,EUCAST,,,,,Laboratory Method,,28704546.0,Staphylococcus aureus
1280,1280.8385,Staphylococcus aureus C00000837,erythromycin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
904801,904801.3,Staphylococcus aureus subsp. aureus CO-86,erythromycin,Resistant,,,,,,,,,,,,,,Laboratory Method,,,Staphylococcus aureus
1280,1280.9747,Staphylococcus aureus C00003098,tetracycline,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.52197,Staphylococcus aureus WUSa_oxa_MS040,cefoxitin,Susceptible,29,,29,mm,Disk diffusion,,,,CLSI,2020.0,,,,Laboratory Method,,35038924.0,Staphylococcus aureus
1280,1280.9288,Staphylococcus aureus 348_05,erythromycin,Resistant,,,,,Disk diffusion,,,,CLSI,,,,,Laboratory Method,,25903077.0,Staphylococcus aureus
1280,1280.51786,Staphylococcus aureus 11-02779,erythromycin,Susceptible,,,,,,,,,EUCAST,,,,,Laboratory Method,,28961857.0,Staphylococcus aureus
1280,1280.9342,Staphylococcus aureus TTSH2_09,erythromycin,Susceptible,,,,,Disk diffusion,,,,CLSI,,,,,Laboratory Method,,25903077.0,Staphylococcus aureus
1280,1280.9387,Staphylococcus aureus WAU_30,ciprofloxacin,Intermediate,,,,,Broth dilution,,E-test,AB Biodisk,CLSI,,,,,Laboratory Method,,25903077.0,Staphylococcus aureus
1280,1280.59574,Staphylococcus aureus CFSA17SA086,erythromycin,Resistant,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.9918,Staphylococcus aureus C00008984,ciprofloxacin,Resistant,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.15898,Staphylococcus aureus strain N58_190515,ciprofloxacin,Susceptible,,,,,Broth dilution,,VITEK 2,BioMerieux,EUCAST,,,,,Laboratory Method,,28704546.0,Staphylococcus aureus
1280,1280.29941,Staphylococcus aureus strain HICF0351,erythromycin,Resistant,,,,,Disk diffusion,,,,EUCAST,2019.0,,,,Laboratory Method,,32025709.0,Staphylococcus aureus
1280,1280.39739,Staphylococcus aureus Box1-23,ciprofloxacin,Resistant,,,,,Disk diffusion,,,,CLSI,2012.0,,,,Laboratory Method,,29295910.0,Staphylococcus aureus
1280,1280.26039,Staphylococcus aureus strain 1236-25,erythromycin,Resistant,>=8,>=,8,mg/L,Broth dilution,,VITEK 2,BioMerieux,EUCAST,2016.0,,,,Laboratory Method,,29729180.0,Staphylococcus aureus
1280,1280.7946,Staphylococcus aureus C00001148,ciprofloxacin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.11168,Staphylococcus aureus strain 3688STDY6124892,erythromycin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26806258.0,Staphylococcus aureus
1280,1280.29793,Staphylococcus aureus strain HICF0163,cefoxitin,Resistant,,,,,Disk diffusion,,,,EUCAST,2019.0,,,,Laboratory Method,,32025709.0,Staphylococcus aureus
1280,1280.8383,Staphylococcus aureus C00002661,erythromycin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.9255,Staphylococcus aureus 099_03,tetracycline,Resistant,,,,,Disk diffusion,,,,CLSI,,,,,Laboratory Method,,25903077.0,Staphylococcus aureus
1280,1280.59603,Staphylococcus aureus CFSA17SA058,tetracycline,Susceptible,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.59537,Staphylococcus aureus CLSA24,tetracycline,Susceptible,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.7403,Staphylococcus aureus C00003369,ciprofloxacin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.15917,Staphylococcus aureus strain W43_010415,erythromycin,,1,,1,mg/L,Broth dilution,,,BioMerieux,EUCAST,,,,,Laboratory Method,,28704546.0,Staphylococcus aureus
1280,1280.8619,Staphylococcus aureus C00003260,ciprofloxacin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.59531,Staphylococcus aureus CLSA30,cefoxitin,Susceptible,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.9961,Staphylococcus aureus C00012818,erythromycin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.15909,Staphylococcus aureus strain W62_270515,erythromycin,,1,,1,mg/L,Broth dilution,,,BioMerieux,EUCAST,,,,,Laboratory Method,,28704546.0,Staphylococcus aureus
1280,1280.51653,Staphylococcus aureus 1D-351,cefoxitin,,4,,4,mg/L,Broth dilution,,Sensititre,Thermo Fisher Scientific,EUCAST,2017.0,,,,Laboratory Method,,35756053.0,Staphylococcus aureus
1280,1280.9976,Staphylococcus aureus C00013177,erythromycin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.30275,Staphylococcus aureus strain HICF0718,ciprofloxacin,Resistant,,,,,Disk diffusion,,,,EUCAST,2019.0,,,,Laboratory Method,,32025709.0,Staphylococcus aureus
1280,1280.59751,Staphylococcus aureus CFSA12SA069,cefoxitin,Resistant,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.831,Staphylococcus aureus C00013365,tetracycline,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.29864,Staphylococcus aureus strain HICF0251,cefoxitin,Resistant,,,,,Disk diffusion,,,,EUCAST,2019.0,,,,Laboratory Method,,32025709.0,Staphylococcus aureus
1280,1280.29683,Staphylococcus aureus strain HICF0015,cefoxitin,Resistant,,,,,Disk diffusion,,,,EUCAST,2019.0,,,,Laboratory Method,,32025709.0,Staphylococcus aureus
1280,1280.59517,Staphylococcus aureus CLSA45,ciprofloxacin,Susceptible,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.7935,Staphylococcus aureus C00001136,tetracycline,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.59361,Staphylococcus aureus CFSA15SA044,erythromycin,Resistant,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.59797,Staphylococcus aureus CFSA12SA003,ciprofloxacin,Intermediate,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.30422,Staphylococcus aureus strain HICF0919,erythromycin,Resistant,,,,,Disk diffusion,,,,EUCAST,2019.0,,,,Laboratory Method,,32025709.0,Staphylococcus aureus
1280,1280.11336,Staphylococcus aureus strain 3688STDY6125001,cefoxitin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26806258.0,Staphylococcus aureus
1280,1280.59419,Staphylococcus aureus CFSA14SA030,ciprofloxacin,Susceptible,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.29708,Staphylococcus aureus strain HICF0040,cefoxitin,Resistant,,,,,Disk diffusion,,,,EUCAST,2019.0,,,,Laboratory Method,,32025709.0,Staphylococcus aureus
1280,1280.5174,Staphylococcus aureus 13-01132,erythromycin,Resistant,,,,,Broth dilution,,,,EUCAST,2018.0,,,,Laboratory Method,,33658988.0,Staphylococcus aureus
1280,1280.999,Staphylococcus aureus C00013208,ciprofloxacin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.8766,Staphylococcus aureus C00007069,erythromycin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.15874,Staphylococcus aureus strain N46_140415,ciprofloxacin,Susceptible,,,,,Broth dilution,,VITEK 2,BioMerieux,EUCAST,,,,,Laboratory Method,,28704546.0,Staphylococcus aureus
1280,1280.51773,Staphylococcus aureus 13-00983,tetracycline,Susceptible,,,,,,,,,EUCAST,,,,,Laboratory Method,,28961857.0,Staphylococcus aureus
1280,1280.9984,Staphylococcus aureus C00013194,ciprofloxacin,Resistant,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.5969,Staphylococcus aureus CFSA16SA022,erythromycin,Resistant,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.9423,Staphylococcus aureus C00000862,tetracycline,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.5986,Staphylococcus aureus 18A270,ciprofloxacin,Susceptible,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.8807,Staphylococcus aureus C00001097,ciprofloxacin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.7939,Staphylococcus aureus C00001140,erythromycin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.59799,Staphylococcus aureus CFSA12SA006,erythromycin,Resistant,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.8567,Staphylococcus aureus C00000847,tetracycline,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.9845,Staphylococcus aureus C00003307,ciprofloxacin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.9813,Staphylococcus aureus C00003238,ciprofloxacin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.51934,Staphylococcus aureus 12-01857,erythromycin,Susceptible,,,,,Broth dilution,,,,EUCAST,2018.0,,,,Laboratory Method,,33658988.0,Staphylococcus aureus
1280,1280.5974,Staphylococcus aureus CFSA13SA012,erythromycin,Resistant,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.26007,Staphylococcus aureus strain 1582-96,ciprofloxacin,Susceptible,<=0.5,<=,0.5,mg/L,Broth dilution,,VITEK 2,BioMerieux,EUCAST,2016.0,,,,Laboratory Method,,29729180.0,Staphylococcus aureus
1280,1280.8638,Staphylococcus aureus C00008635,erythromycin,Susceptible,,,,,,,,,,,,,,Laboratory Method,,26686880.0,Staphylococcus aureus
1280,1280.59696,Staphylococcus aureus CFSA16SA018,ciprofloxacin,Susceptible,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.593,Staphylococcus aureus CFSA15SA106,ciprofloxacin,Susceptible,,,,,Biofosun Gram-positive panels broth dilution,,,"Shanghai Biofosun Biotech, China",CLSI,2015.0,,,,Laboratory Method,,34100643.0,Staphylococcus aureus
1280,1280.21074,Staphylococcus aureus strain 0137-2003-2005,ciprofloxacin,Susceptible,<=1,<=,1,mg/L,Broth dilution,,BD Phoenix,BD,EUCAST,,,,,Laboratory Method,,,Staphylococcus aureus
