Genome ID,Genome Name,cefoxitin,ciprofloxacin,erythromycin,tetracycline
1280.11054,Staphylococcus aureus strain 3688STDY6124957,susceptible,,susceptible,
1280.11118,Staphylococcus aureus strain 3688STDY6124966,susceptible,,susceptible,
1280.11150,Staphylococcus aureus strain 3688STDY6125057,susceptible,,susceptible,
1280.11151,Staphylococcus aureus strain 3688STDY6125107,susceptible,,susceptible,
1280.11152,Staphylococcus aureus strain 3688STDY6125053,susceptible,,resistant,
1280.11153,Staphylococcus aureus strain 3688STDY6125103,susceptible,,susceptible,
1280.11154,Staphylococcus aureus strain 3688STDY6125102,susceptible,,susceptible,
1280.11155,Staphylococcus aureus strain 3688STDY6125058,susceptible,,susceptible,
1280.11156,Staphylococcus aureus strain 3688STDY6124951,susceptible,,susceptible,
1280.11157,Staphylococcus aureus strain 3688STDY6124950,susceptible,,susceptible,
1280.11158,Staphylococcus aureus strain 3688STDY6124948,susceptible,,susceptible,
1280.11159,Staphylococcus aureus strain 3688STDY6124940,susceptible,,susceptible,
1280.11160,Staphylococcus aureus strain 3688STDY6124928,susceptible,,susceptible,
1280.11161,Staphylococcus aureus strain 3688STDY6124876,susceptible,,susceptible,
1280.11162,Staphylococcus aureus strain 3688STDY6124918,susceptible,,susceptible,
1280.11164,Staphylococcus aureus strain 3688STDY6124909,susceptible,,susceptible,
1280.11165,Staphylococcus aureus strain 3688STDY6124896,susceptible,,susceptible,
1280.11166,Staphylococcus aureus strain 3688STDY6124894,susceptible,,susceptible,
1280.11167,Staphylococcus aureus strain 3688STDY6124893,susceptible,,susceptible,
1280.11168,Staphylococcus aureus strain 3688STDY6124892,susceptible,,susceptible,
1280.11169,Staphylococcus aureus strain 3688STDY6124891,susceptible,,susceptible,
1280.11170,Staphylococcus aureus strain 3688STDY6124882,susceptible,,susceptible,
1280.11171,Staphylococcus aureus strain 3688STDY6124883,susceptible,,susceptible,
1280.11172,Staphylococcus aureus strain 3688STDY6124881,susceptible,,susceptible,
1280.11173,Staphylococcus aureus strain 3688STDY6124871,susceptible,,susceptible,
1280.11174,Staphylococcus aureus strain 3688STDY6124867,susceptible,,susceptible,
1280.11175,Staphylococcus aureus strain 3688STDY6124853,susceptible,,susceptible,
1280.11176,Staphylococcus aureus strain 3688STDY6124856,susceptible,,susceptible,
1280.11177,Staphylococcus aureus strain 3688STDY6124851,susceptible,,susceptible,
1280.11178,Staphylococcus aureus strain 3688STDY6124846,susceptible,,susceptible,
1280.11179,Staphylococcus aureus strain 3688STDY6124842,susceptible,,susceptible,
1280.11180,Staphylococcus aureus strain 3688STDY6124828,susceptible,,susceptible,
1280.11181,Staphylococcus aureus strain 3688STDY6124839,susceptible,,susceptible,
1280.11182,Staphylococcus aureus strain 3688STDY6124822,resistant,,resistant,
1280.11183,Staphylococcus aureus strain 3688STDY6124816,susceptible,,susceptible,
1280.11184,Staphylococcus aureus strain 3688STDY6124813,susceptible,,susceptible,
1280.11185,Staphylococcus aureus strain 3688STDY6125044,susceptible,,resistant,
1280.11186,Staphylococcus aureus strain 3688STDY6125040,susceptible,,susceptible,
1280.11187,Staphylococcus aureus strain 3688STDY6125030,susceptible,,susceptible,
1280.11188,Staphylococcus aureus strain 3688STDY6125028,susceptible,,susceptible,
1280.11189,Staphylococcus aureus strain 3688STDY6125021,susceptible,,susceptible,
1280.11190,Staphylococcus aureus strain 3688STDY6125017,susceptible,,susceptible,
1280.11191,Staphylococcus aureus strain 3688STDY6125002,susceptible,,susceptible,
1280.11192,Staphylococcus aureus strain 3688STDY6124994,susceptible,,susceptible,
1280.11193,Staphylococcus aureus strain 3688STDY6124991,susceptible,,susceptible,
1280.11194,Staphylococcus aureus strain 3688STDY6124985,susceptible,,susceptible,
1280.11196,Staphylococcus aureus strain 3688STDY6124987,susceptible,,susceptible,
1280.11197,Staphylococcus aureus strain 3688STDY6124972,susceptible,,susceptible,
1280.11198,Staphylococcus aureus strain 3688STDY6124969,susceptible,,susceptible,
1280.11199,Staphylococcus aureus strain 3688STDY6124960,susceptible,,susceptible,
1280.11200,Staphylococcus aureus strain 3688STDY6125142,susceptible,,susceptible,
1280.11201,Staphylococcus aureus strain 3688STDY6125056,susceptible,,susceptible,
1280.11202,Staphylococcus aureus strain 3688STDY6125055,susceptible,,susceptible,
1280.11203,Staphylococcus aureus strain 3688STDY6125054,susceptible,,resistant,
1280.11204,Staphylococcus aureus strain 3688STDY6125104,susceptible,,resistant,
1280.11205,Staphylococcus aureus strain 3688STDY6125101,susceptible,,susceptible,
1280.11206,Staphylococcus aureus strain 3688STDY6125052,susceptible,,susceptible,
1280.11207,Staphylococcus aureus strain 3688STDY6125051,susceptible,,susceptible,
1280.11208,Staphylococcus aureus strain 3688STDY6125050,susceptible,,susceptible,
1280.11209,Staphylococcus aureus strain 3688STDY6125060,susceptible,,susceptible,
1280.11210,Staphylococcus aureus strain 3688STDY6125049,susceptible,,susceptible,
1280.11211,Staphylococcus aureus strain 3688STDY6125059,susceptible,,susceptible,
1280.11212,Staphylococcus aureus strain 3688STDY6124880,susceptible,,susceptible,
1280.11213,Staphylococcus aureus strain 3688STDY6124958,susceptible,,susceptible,
1280.11214,Staphylococcus aureus strain 3688STDY6124956,susceptible,,susceptible,
1280.11215,Staphylococcus aureus strain 3688STDY6124955,resistant,,resistant,
1280.11216,Staphylococcus aureus strain 3688STDY6124952,susceptible,,susceptible,
1280.11217,Staphylococcus aureus strain 3688STDY6124947,susceptible,,susceptible,
1280.11218,Staphylococcus aureus strain 3688STDY6124946,susceptible,,susceptible,
1280.11219,Staphylococcus aureus strain 3688STDY6124945,resistant,,resistant,
1280.11220,Staphylococcus aureus strain 3688STDY6124944,susceptible,,susceptible,
1280.11221,Staphylococcus aureus strain 3688STDY6124943,susceptible,,susceptible,
1280.11222,Staphylococcus aureus strain 3688STDY6124942,susceptible,,susceptible,
1280.11223,Staphylococcus aureus strain 3688STDY6124938,resistant,,resistant,
1280.11224,Staphylococcus aureus strain 3688STDY6124932,susceptible,,susceptible,
1280.11225,Staphylococcus aureus strain 3688STDY6124877,susceptible,,susceptible,
1280.11226,Staphylococcus aureus strain 3688STDY6124925,susceptible,,susceptible,
1280.11229,Staphylococcus aureus strain 3688STDY6124921,susceptible,,susceptible,
1280.11230,Staphylococcus aureus strain 3688STDY6124920,susceptible,,susceptible,
1280.11231,Staphylococcus aureus strain 3688STDY6124916,susceptible,,susceptible,
1280.11232,Staphylococcus aureus strain 3688STDY6124912,susceptible,,susceptible,
1280.11233,Staphylococcus aureus strain 3688STDY6124875,susceptible,,susceptible,
1280.11234,Staphylococcus aureus strain 3688STDY6124911,susceptible,,susceptible,
1280.11235,Staphylococcus aureus strain 3688STDY6124910,susceptible,,susceptible,
1280.11236,Staphylococcus aureus strain 3688STDY6124906,susceptible,,susceptible,
1280.11237,Staphylococcus aureus strain 3688STDY6124905,susceptible,,susceptible,
1280.11238,Staphylococcus aureus strain 3688STDY6124904,susceptible,,susceptible,
1280.11239,Staphylococcus aureus strain 3688STDY6124903,susceptible,,susceptible,
1280.11241,Staphylococcus aureus strain 3688STDY6124901,susceptible,,susceptible,
1280.11242,Staphylococcus aureus strain 3688STDY6124874,susceptible,,susceptible,
1280.11243,Staphylococcus aureus strain 3688STDY6124899,susceptible,,susceptible,
1280.11244,Staphylococcus aureus strain 3688STDY6124897,susceptible,,susceptible,
1280.11245,Staphylococcus aureus strain 3688STDY6124895,susceptible,,susceptible,
1280.11246,Staphylococcus aureus strain 3688STDY6124873,susceptible,,resistant,
1280.11248,Staphylococcus aureus strain 3688STDY6124889,susceptible,,susceptible,
1280.11249,Staphylococcus aureus strain 3688STDY6124888,susceptible,,susceptible,
1280.11250,Staphylococcus aureus strain 3688STDY6124886,susceptible,,susceptible,
1280.11251,Staphylococcus aureus strain 3688STDY6124885,susceptible,,susceptible,
1280.11252,Staphylococcus aureus strain 3688STDY6124884,susceptible,,susceptible,
1280.11254,Staphylococcus aureus strain 3688STDY6124870,susceptible,,susceptible,
1280.11255,Staphylococcus aureus strain 3688STDY6124869,susceptible,,susceptible,
1280.11256,Staphylococcus aureus strain 3688STDY6124868,susceptible,,susceptible,
1280.11257,Staphylococcus aureus strain 3688STDY6124866,susceptible,,susceptible,
1280.11258,Staphylococcus aureus strain 3688STDY6124865,susceptible,,susceptible,
1280.11259,Staphylococcus aureus strain 3688STDY6124863,susceptible,,susceptible,
1280.11261,Staphylococcus aureus strain 3688STDY6124861,susceptible,,susceptible,
1280.11262,Staphylococcus aureus strain 3688STDY6124862,susceptible,,resistant,
1280.11263,Staphylococcus aureus strain 3688STDY6124860,susceptible,,susceptible,
1280.11264,Staphylococcus aureus strain 3688STDY6124859,susceptible,,susceptible,
1280.11265,Staphylococcus aureus strain 3688STDY6124858,susceptible,,susceptible,
1280.11266,Staphylococcus aureus strain 3688STDY6124855,susceptible,,susceptible,
1280.11267,Staphylococcus aureus strain 3688STDY6124854,susceptible,,resistant,
1280.11268,Staphylococcus aureus strain 3688STDY6124852,susceptible,,susceptible,
1280.11269,Staphylococcus aureus strain 3688STDY6124850,susceptible,,susceptible,
1280.11270,Staphylococcus aureus strain 3688STDY6124845,susceptible,,susceptible,
1280.11271,Staphylococcus aureus strain 3688STDY6124849,susceptible,,susceptible,
1280.11272,Staphylococcus aureus strain 3688STDY6124844,susceptible,,susceptible,
1280.11273,Staphylococcus aureus strain 3688STDY6124847,susceptible,,susceptible,
1280.11274,Staphylococcus aureus strain 3688STDY6124843,susceptible,,susceptible,
1280.11275,Staphylococcus aureus strain 3688STDY6124841,susceptible,,susceptible,
1280.11276,Staphylococcus aureus strain 3688STDY6124840,susceptible,,susceptible,
1280.11277,Staphylococcus aureus strain 3688STDY6124838,susceptible,,susceptible,
1280.11278,Staphylococcus aureus strain 3688STDY6124837,susceptible,,susceptible,
1280.11279,Staphylococcus aureus strain 3688STDY6124835,susceptible,,susceptible,
1280.11280,Staphylococcus aureus strain 3688STDY6124836,susceptible,,susceptible,
1280.11281,Staphylococcus aureus strain 3688STDY6124833,susceptible,,susceptible,
1280.11282,Staphylococcus aureus strain 3688STDY6124832,susceptible,,susceptible,
1280.11283,Staphylococcus aureus strain 3688STDY6124834,susceptible,,susceptible,
1280.11284,Staphylococcus aureus strain 3688STDY6124831,susceptible,,resistant,
1280.11285,Staphylococcus aureus strain 3688STDY6124829,susceptible,,susceptible,
1280.11286,Staphylococcus aureus strain 3688STDY6124826,susceptible,,susceptible,
1280.11287,Staphylococcus aureus strain 3688STDY6124825,susceptible,,susceptible,
1280.11288,Staphylococcus aureus strain 3688STDY6124824,susceptible,,susceptible,
1280.11289,Staphylococcus aureus strain 3688STDY6124820,susceptible,,susceptible,
1280.11290,Staphylococcus aureus strain 3688STDY6124819,susceptible,,susceptible,
1280.11291,Staphylococcus aureus strain 3688STDY6124818,susceptible,,susceptible,
1280.11292,Staphylococcus aureus strain 3688STDY6124817,resistant,,resistant,
1280.11293,Staphylococcus aureus strain 3688STDY6124815,susceptible,,susceptible,
1280.11294,Staphylococcus aureus strain 3688STDY6124814,susceptible,,susceptible,
1280.11295,Staphylococcus aureus strain 3688STDY6124812,susceptible,,susceptible,
1280.11296,Staphylococcus aureus strain 3688STDY6124968,susceptible,,resistant,
1280.11297,Staphylococcus aureus strain 3688STDY6125048,susceptible,,susceptible,
1280.11298,Staphylococcus aureus strain 3688STDY6125047,susceptible,,susceptible,
1280.11299,Staphylococcus aureus strain 3688STDY6125046,susceptible,,resistant,
1280.11300,Staphylococcus aureus strain 3688STDY6125045,susceptible,,susceptible,
1280.11301,Staphylococcus aureus strain 3688STDY6125043,susceptible,,susceptible,
1280.11302,Staphylococcus aureus strain 3688STDY6125042,susceptible,,susceptible,
1280.11303,Staphylococcus aureus strain 3688STDY6125041,susceptible,,susceptible,
1280.11304,Staphylococcus aureus strain 3688STDY6124967,susceptible,,susceptible,
1280.11305,Staphylococcus aureus strain 3688STDY6125039,susceptible,,susceptible,
1280.11306,Staphylococcus aureus strain 3688STDY6125038,susceptible,,susceptible,
1280.11307,Staphylococcus aureus strain 3688STDY6125037,susceptible,,susceptible,
1280.11308,Staphylococcus aureus strain 3688STDY6125035,susceptible,,susceptible,
1280.11309,Staphylococcus aureus strain 3688STDY6125034,susceptible,,susceptible,
1280.11310,Staphylococcus aureus strain 3688STDY6125033,susceptible,,susceptible,
1280.11311,Staphylococcus aureus strain 3688STDY6125032,susceptible,,susceptible,
1280.11312,Staphylococcus aureus strain 3688STDY6125031,susceptible,,susceptible,
1280.11313,Staphylococcus aureus strain 3688STDY6125027,susceptible,,susceptible,
1280.11314,Staphylococcus aureus strain 3688STDY6125029,susceptible,,susceptible,
1280.11315,Staphylococcus aureus strain 3688STDY6125025,susceptible,,susceptible,
1280.11316,Staphylococcus aureus strain 3688STDY6125026,susceptible,,susceptible,
1280.11317,Staphylococcus aureus strain 3688STDY6125024,susceptible,,susceptible,
1280.11318,Staphylococcus aureus strain 3688STDY6125023,susceptible,,susceptible,
1280.11319,Staphylococcus aureus strain 3688STDY6124965,susceptible,,susceptible,
1280.11320,Staphylococcus aureus strain 3688STDY6125019,susceptible,,susceptible,
1280.11321,Staphylococcus aureus strain 3688STDY6125020,susceptible,,susceptible,
1280.11322,Staphylococcus aureus strain 3688STDY6125018,susceptible,,susceptible,
1280.11323,Staphylococcus aureus strain 3688STDY6125016,susceptible,,,
1280.11324,Staphylococcus aureus strain 3688STDY6125015,susceptible,,susceptible,
1280.11325,Staphylococcus aureus strain 3688STDY6125014,susceptible,,susceptible,
1280.11326,Staphylococcus aureus strain 3688STDY6125013,susceptible,,susceptible,
1280.11327,Staphylococcus aureus strain 3688STDY6125012,susceptible,,susceptible,
1280.11328,Staphylococcus aureus strain 3688STDY6124964,susceptible,,susceptible,
1280.11329,Staphylococcus aureus strain 3688STDY6125011,susceptible,,susceptible,
1280.11330,Staphylococcus aureus strain 3688STDY6125010,susceptible,,resistant,
1280.11331,Staphylococcus aureus strain 3688STDY6125009,susceptible,,susceptible,
1280.11332,Staphylococcus aureus strain 3688STDY6125008,susceptible,,susceptible,
1280.11333,Staphylococcus aureus strain 3688STDY6125007,susceptible,,susceptible,
1280.11334,Staphylococcus aureus strain 3688STDY6125006,susceptible,,susceptible,
1280.11335,Staphylococcus aureus strain 3688STDY6125005,susceptible,,resistant,
1280.11336,Staphylococcus aureus strain 3688STDY6125001,susceptible,,susceptible,
1280.11337,Staphylococcus aureus strain 3688STDY6125000,susceptible,,susceptible,
1280.11338,Staphylococcus aureus strain 3688STDY6124999,susceptible,,susceptible,
1280.11339,Staphylococcus aureus strain 3688STDY6124963,susceptible,,susceptible,
1280.11341,Staphylococcus aureus strain 3688STDY6124997,susceptible,,susceptible,
1280.11342,Staphylococcus aureus strain 3688STDY6124996,susceptible,,susceptible,
1280.11343,Staphylococcus aureus strain 3688STDY6124995,susceptible,,susceptible,
1280.11344,Staphylococcus aureus strain 3688STDY6124992,susceptible,,susceptible,
1280.11345,Staphylococcus aureus strain 3688STDY6124989,susceptible,,susceptible,
1280.11346,Staphylococcus aureus strain 3688STDY6124962,susceptible,,susceptible,
1280.11347,Staphylococcus aureus strain 3688STDY6124988,susceptible,,susceptible,
1280.11348,Staphylococcus aureus strain 3688STDY6124986,susceptible,,susceptible,
1280.11349,Staphylococcus aureus strain 3688STDY6124984,susceptible,,susceptible,
1280.11350,Staphylococcus aureus strain 3688STDY6124983,susceptible,,susceptible,
1280.11351,Staphylococcus aureus strain 3688STDY6124982,susceptible,,susceptible,
1280.11352,Staphylococcus aureus strain 3688STDY6124981,susceptible,,susceptible,
1280.11353,Staphylococcus aureus strain 3688STDY6124980,susceptible,,susceptible,
1280.11354,Staphylococcus aureus strain 3688STDY6124979,susceptible,,susceptible,
1280.11355,Staphylococcus aureus strain 3688STDY6124961,susceptible,,susceptible,
1280.11356,Staphylococcus aureus strain 3688STDY6124977,susceptible,,susceptible,
1280.11357,Staphylococcus aureus strain 3688STDY6124976,susceptible,,susceptible,
1280.11358,Staphylococcus aureus strain 3688STDY6124974,susceptible,,susceptible,
1280.11359,Staphylococcus aureus strain 3688STDY6124970,susceptible,,susceptible,
1280.11699,Staphylococcus aureus strain 3688STDY6124973,susceptible,,susceptible,
1280.11700,Staphylococcus aureus strain 3688STDY6124975,susceptible,,susceptible,
1280.11701,Staphylococcus aureus strain 3688STDY6124990,susceptible,,susceptible,
1280.11702,Staphylococcus aureus strain 3688STDY6125022,susceptible,,susceptible,
1280.11703,Staphylococcus aureus strain 3688STDY6125036,susceptible,,susceptible,
1280.11704,Staphylococcus aureus strain 3688STDY6124823,susceptible,,susceptible,
1280.11705,Staphylococcus aureus strain 3688STDY6124827,susceptible,,susceptible,
1280.11706,Staphylococcus aureus strain 3688STDY6124857,susceptible,,susceptible,
1280.11707,Staphylococcus aureus strain 3688STDY6124864,susceptible,,susceptible,
1280.11708,Staphylococcus aureus strain 3688STDY6124872,susceptible,,susceptible,
1280.11709,Staphylococcus aureus strain 3688STDY6124890,susceptible,,susceptible,
1280.11710,Staphylococcus aureus strain 3688STDY6124898,susceptible,,susceptible,
1280.11711,Staphylococcus aureus strain 3688STDY6124902,susceptible,,susceptible,
1280.11712,Staphylococcus aureus strain 3688STDY6124908,susceptible,,susceptible,
1280.11713,Staphylococcus aureus strain 3688STDY6124913,susceptible,,susceptible,
1280.11714,Staphylococcus aureus strain 3688STDY6124914,susceptible,,susceptible,
1280.11715,Staphylococcus aureus strain 3688STDY6124915,susceptible,,susceptible,
1280.11716,Staphylococcus aureus strain 3688STDY6124919,susceptible,,susceptible,
1280.11717,Staphylococcus aureus strain 3688STDY6124924,susceptible,,susceptible,
1280.11718,Staphylococcus aureus strain 3688STDY6124953,susceptible,,susceptible,
1280.11719,Staphylococcus aureus strain 3688STDY6124954,susceptible,,susceptible,
1280.11720,Staphylococcus aureus strain 3688STDY6125141,susceptible,,resistant,
1280.11721,Staphylococcus aureus strain 3688STDY6124993,susceptible,,susceptible,
1280.11722,Staphylococcus aureus strain 3688STDY6124830,susceptible,,susceptible,
1280.11723,Staphylococcus aureus strain 3688STDY6124887,susceptible,,susceptible,
1280.11724,Staphylococcus aureus strain 3688STDY6124941,susceptible,,susceptible,
1280.11725,Staphylococcus aureus strain 3688STDY6124959,susceptible,,susceptible,
1280.11726,Staphylococcus aureus strain 3688STDY6125061,susceptible,,susceptible,
1280.15865,Staphylococcus aureus strain N32_250215,,susceptible,susceptible,susceptible
1280.15866,Staphylococcus aureus strain HCW11A_151214,,susceptible,susceptible,susceptible
1280.15867,Staphylococcus aureus strain N36_040315,,susceptible,susceptible,resistant
1280.15868,Staphylococcus aureus strain N38_040315,,susceptible,susceptible,susceptible
1280.15869,Staphylococcus aureus strain W22_020215,,susceptible,susceptible,resistant
1280.15870,Staphylococcus aureus strain HCW24_100415,,susceptible,susceptible,susceptible
1280.15871,Staphylococcus aureus strain HCW01_170215,,susceptible,susceptible,susceptible
1280.15872,Staphylococcus aureus strain W27_050315,,susceptible,susceptible,susceptible
1280.15873,Staphylococcus aureus strain N37_040315,,susceptible,susceptible,resistant
1280.15874,Staphylococcus aureus strain N46_140415,,susceptible,susceptible,susceptible
1280.15875,Staphylococcus aureus strain HCW05_100415,,susceptible,susceptible,susceptible
1280.15876,Staphylococcus aureus strain HCW07_130215,,susceptible,susceptible,susceptible
1280.15877,Staphylococcus aureus strain HCW18_130415,,susceptible,susceptible,susceptible
1280.15878,Staphylococcus aureus strain W24A_090215,,susceptible,resistant,resistant
1280.15880,Staphylococcus aureus strain B21_100115,,resistant,susceptible,resistant
1280.15881,Staphylococcus aureus strain N21_100115,,resistant,susceptible,resistant
1280.15882,Staphylococcus aureus strain N05B_191214,,resistant,susceptible,resistant
1280.15883,Staphylococcus aureus strain N31_250215,,susceptible,susceptible,resistant
1280.15884,Staphylococcus aureus strain N05A_091214,,resistant,susceptible,resistant
1280.15885,Staphylococcus aureus strain N35_200515,,resistant,susceptible,resistant
1280.15886,Staphylococcus aureus strain N13A_311214,,resistant,susceptible,resistant
1280.15887,Staphylococcus aureus strain N04_011214,,susceptible,susceptible,resistant
1280.15888,Staphylococcus aureus strain N12_291214,,resistant,susceptible,resistant
1280.15889,Staphylococcus aureus strain W01A_051214,,resistant,susceptible,resistant
1280.15890,Staphylococcus aureus strain N51_200515,,resistant,susceptible,resistant
1280.15891,Staphylococcus aureus strain N55_130515,,resistant,susceptible,resistant
1280.15892,Staphylococcus aureus strain HCW05_031214,,susceptible,susceptible,resistant
1280.15893,Staphylococcus aureus strain N57_130515,,susceptible,susceptible,susceptible
1280.15894,Staphylococcus aureus strain W35_120315,,susceptible,susceptible,resistant
1280.15895,Staphylococcus aureus strain B58_200515,,susceptible,susceptible,susceptible
1280.15896,Staphylococcus aureus strain HCW05_140115,,susceptible,susceptible,resistant
1280.15897,Staphylococcus aureus strain HCW23_100415,,susceptible,susceptible,susceptible
1280.15898,Staphylococcus aureus strain N58_190515,,susceptible,susceptible,susceptible
1280.15899,Staphylococcus aureus strain W35_170415,,resistant,susceptible,resistant
1280.15900,Staphylococcus aureus strain W46_140415,,susceptible,susceptible,susceptible
1280.15901,Staphylococcus aureus strain N62_270515,,resistant,susceptible,resistant
1280.15902,Staphylococcus aureus strain W47_060515,,susceptible,susceptible,susceptible
1280.15903,Staphylococcus aureus strain W49_290415,,susceptible,susceptible,susceptible
1280.15904,Staphylococcus aureus strain W51_290415,,susceptible,susceptible,resistant
1280.15905,Staphylococcus aureus strain W57_130515,,susceptible,susceptible,susceptible
1280.15906,Staphylococcus aureus strain W58_190515,,susceptible,susceptible,susceptible
1280.15907,Staphylococcus aureus strain W55_130515,,susceptible,susceptible,susceptible
1280.15908,Staphylococcus aureus strain W54_110515,,susceptible,susceptible,resistant
1280.15909,Staphylococcus aureus strain W62_270515,,susceptible,susceptible,resistant
1280.15910,Staphylococcus aureus strain B03_011214,,resistant,susceptible,resistant
1280.15911,Staphylococcus aureus strain B12A_030115,,resistant,susceptible,resistant
1280.15912,Staphylococcus aureus strain B28_120215,,susceptible,susceptible,susceptible
1280.15913,Staphylococcus aureus strain N34_260215,,susceptible,susceptible,resistant
1280.15914,Staphylococcus aureus strain N35_260215,,susceptible,susceptible,susceptible
1280.15915,Staphylococcus aureus strain W12_291214,,resistant,susceptible,resistant
1280.15916,Staphylococcus aureus strain W08A_161214,,susceptible,susceptible,resistant
1280.15917,Staphylococcus aureus strain W43_010415,,resistant,susceptible,resistant
1280.15918,Staphylococcus aureus strain W42_230315,,susceptible,susceptible,resistant
