genome_id,antibiotic,label
1280.15912,ciprofloxacin,S
1280.15912,erythromycin,S
1280.15912,tetracycline,S
1280.15913,ciprofloxacin,S
1280.15913,erythromycin,S
1280.15913,tetracycline,R
1280.15914,ciprofloxacin,S
1280.15914,erythromycin,S
1280.15914,tetracycline,S
1280.15915,ciprofloxacin,R
1280.15915,erythromycin,S
1280.15915,tetracycline,R
1280.15916,ciprofloxacin,S
1280.15916,erythromycin,S
1280.15916,tetracycline,R
1280.15917,ciprofloxacin,R
1280.15917,erythromycin,S
1280.15917,tetracycline,R
1280.15918,ciprofloxacin,S
1280.15918,erythromycin,S
1280.15918,tetracycline,R
1280.15919,ciprofloxacin,S
1280.15919,erythromycin,S
1280.15919,tetracycline,S
1280.15920,ciprofloxacin,S
1280.15920,erythromycin,S
1280.15920,tetracycline,S
1280.15921,ciprofloxacin,S
1280.15921,erythromycin,S
1280.15921,tetracycline,S
1280.15922,ciprofloxacin,R
1280.15922,erythromycin,S
1280.15922,tetracycline,R
1280.15923,ciprofloxacin,S
1280.15923,erythromycin,S
1280.15923,tetracycline,R
1280.15924,ciprofloxacin,S
1280.15924,erythromycin,S
1280.15924,tetracycline,R
1280.15925,ciprofloxacin,R
1280.15925,erythromycin,S
1280.15925,tetracycline,R
1280.15926,ciprofloxacin,R
1280.15926,erythromycin,S
1280.15926,tetracycline,R
1280.15927,ciprofloxacin,S
1280.15927,erythromycin,S
1280.15927,tetracycline,R
1280.15928,ciprofloxacin,R
1280.15928,erythromycin,S
1280.15928,tetracycline,R
1280.15929,ciprofloxacin,S
1280.15929,erythromycin,S
1280.15929,tetracycline,S
1280.15930,ciprofloxacin,R
1280.15930,erythromycin,S
1280.15930,tetracycline,S
1280.15931,ciprofloxacin,R
1280.15931,erythromycin,R
1280.15931,tetracycline,S
1280.15938,ciprofloxacin,S
1280.15938,erythromycin,S
1280.15938,tetracycline,S
1280.15939,cefoxitin,S
1280.15939,ciprofloxacin,S
1280.15939,erythromycin,S
1280.15939,tetracycline,S
1280.16051,ciprofloxacin,S
1280.16051,erythromycin,S
1280.16051,tetracycline,S
1280.16052,ciprofloxacin,S
1280.16052,erythromycin,S
1280.16052,tetracycline,S
1280.16061,cefoxitin,R
1280.16061,erythromycin,S
1280.16061,tetracycline,S
1280.16384,cefoxitin,R
1280.16384,erythromycin,S
1280.16384,tetracycline,S
1280.16385,cefoxitin,S
1280.16385,erythromycin,S
1280.16385,tetracycline,S
1280.16386,cefoxitin,R
1280.16386,erythromycin,R
1280.16386,tetracycline,S
1280.16387,cefoxitin,R
1280.16387,erythromycin,R
1280.16387,tetracycline,S
1280.16436,ciprofloxacin,S
1280.16436,erythromycin,S
1280.16436,tetracycline,S
1280.16548,cefoxitin,R
1280.16548,erythromycin,R
1280.16548,tetracycline,S
1280.16549,cefoxitin,R
1280.16549,erythromycin,S
1280.16549,tetracycline,S
1280.16550,cefoxitin,R
1280.16550,erythromycin,R
1280.16550,tetracycline,R
1280.16551,cefoxitin,R
1280.16551,erythromycin,R
1280.16551,tetracycline,S
1280.16552,cefoxitin,R
1280.16552,erythromycin,R
1280.16552,tetracycline,R
1280.16553,cefoxitin,R
1280.16553,erythromycin,S
1280.16553,tetracycline,S
1280.16554,cefoxitin,R
1280.16554,tetracycline,S
1280.16555,cefoxitin,R
1280.16555,erythromycin,R
1280.16555,tetracycline,S
1280.16556,cefoxitin,R
1280.16556,erythromycin,R
1280.16556,tetracycline,S
1280.16557,cefoxitin,R
1280.16557,erythromycin,R
1280.16557,tetracycline,S
1280.16558,cefoxitin,R
1280.16558,erythromycin,R
1280.16558,tetracycline,S
1280.16566,cefoxitin,R
1280.16566,erythromycin,R
1280.16566,tetracycline,S
1280.16567,cefoxitin,R
1280.16567,erythromycin,R
1280.16567,tetracycline,S
1280.16568,cefoxitin,R
1280.16568,erythromycin,R
1280.16568,tetracycline,S
1280.16569,cefoxitin,S
1280.16569,erythromycin,S
1280.16569,tetracycline,S
1280.16570,cefoxitin,R
1280.16570,erythromycin,R
1280.16570,tetracycline,S
1280.16759,cefoxitin,R
1280.16759,erythromycin,R
1280.16759,tetracycline,S
1280.16760,cefoxitin,R
1280.16760,erythromycin,R
1280.16760,tetracycline,S
1280.16761,cefoxitin,R
1280.16761,erythromycin,S
1280.16761,tetracycline,R
1280.16762,cefoxitin,R
1280.16762,erythromycin,R
1280.16762,tetracycline,S
1280.16763,cefoxitin,R
1280.16763,ciprofloxacin,R
1280.16763,erythromycin,S
1280.16763,tetracycline,R
1280.16768,cefoxitin,R
1280.16768,erythromycin,R
1280.16768,tetracycline,S
1280.16771,cefoxitin,R
1280.16771,ciprofloxacin,S
1280.16771,erythromycin,R
1280.16771,tetracycline,S
1280.16772,cefoxitin,R
1280.16772,ciprofloxacin,R
1280.16772,erythromycin,R
1280.16772,tetracycline,R
1280.16773,cefoxitin,R
1280.16773,ciprofloxacin,R
1280.16773,erythromycin,R
1280.16773,tetracycline,R
1280.16774,cefoxitin,R
1280.16774,ciprofloxacin,R
1280.16774,erythromycin,R
1280.16774,tetracycline,R
1280.16775,cefoxitin,R
1280.16775,ciprofloxacin,R
1280.16775,erythromycin,R
1280.16775,tetracycline,R
1280.16776,cefoxitin,R
1280.16776,ciprofloxacin,R
1280.16776,erythromycin,R
1280.16776,tetracycline,R
1280.16805,cefoxitin,R
1280.16805,ciprofloxacin,R
1280.16805,erythromycin,R
1280.16805,tetracycline,R
1280.16836,cefoxitin,R
1280.16836,ciprofloxacin,S
1280.16836,erythromycin,R
1280.16836,tetracycline,S
1280.16838,cefoxitin,R
1280.16838,ciprofloxacin,S
1280.16838,erythromycin,R
1280.16838,tetracycline,S
1280.16839,cefoxitin,R
1280.16839,ciprofloxacin,S
1280.16839,erythromycin,R
1280.16839,tetracycline,S
1280.16840,cefoxitin,R
1280.16840,ciprofloxacin,S
1280.16840,erythromycin,R
1280.16840,tetracycline,S
1280.16841,cefoxitin,R
1280.16841,ciprofloxacin,S
1280.16841,erythromycin,R
1280.16841,tetracycline,S
1280.16858,cefoxitin,R
1280.16858,ciprofloxacin,R
1280.16858,erythromycin,R
1280.16858,tetracycline,R
1280.16859,cefoxitin,R
1280.16859,ciprofloxacin,S
1280.16859,erythromycin,R
1280.16859,tetracycline,S
1280.16860,cefoxitin,R
1280.16860,ciprofloxacin,R
1280.16860,erythromycin,R
1280.16860,tetracycline,R
1280.16861,cefoxitin,R
1280.16861,ciprofloxacin,R
1280.16861,erythromycin,R
1280.16861,tetracycline,R
1280.16862,cefoxitin,R
1280.16862,ciprofloxacin,R
1280.16862,erythromycin,R
1280.16862,tetracycline,R
1280.16863,cefoxitin,R
1280.16863,ciprofloxacin,R
1280.16863,erythromycin,R
1280.16863,tetracycline,R
1280.16864,cefoxitin,R
1280.16864,ciprofloxacin,R
1280.16864,erythromycin,R
1280.16864,tetracycline,R
1280.16865,cefoxitin,R
1280.16865,ciprofloxacin,S
1280.16865,erythromycin,R
1280.16865,tetracycline,S
1280.17656,cefoxitin,R
1280.17656,erythromycin,R
1280.17656,tetracycline,S
1280.17671,cefoxitin,R
1280.17671,erythromycin,R
1280.17671,tetracycline,S
1280.19784,ciprofloxacin,R
1280.19784,erythromycin,S
1280.19784,tetracycline,S
1280.19785,ciprofloxacin,S
1280.19785,erythromycin,S
1280.19785,tetracycline,S
1280.19786,cefoxitin,R
1280.19786,erythromycin,S
1280.19786,tetracycline,S
1280.21073,ciprofloxacin,S
1280.21073,erythromycin,S
1280.21073,tetracycline,S
1280.21074,ciprofloxacin,S
1280.21074,erythromycin,S
1280.21074,tetracycline,S
1280.21075,ciprofloxacin,S
1280.21075,erythromycin,S
1280.21075,tetracycline,S
1280.25972,ciprofloxacin,S
1280.25972,erythromycin,S
1280.25972,tetracycline,S
1280.25973,ciprofloxacin,S
1280.25973,erythromycin,R
1280.25973,tetracycline,S
1280.25974,ciprofloxacin,S
1280.25974,erythromycin,S
1280.25974,tetracycline,S
1280.25975,ciprofloxacin,S
1280.25975,erythromycin,S
1280.25975,tetracycline,S
1280.25976,ciprofloxacin,S
1280.25976,erythromycin,S
1280.25976,tetracycline,S
1280.25977,ciprofloxacin,S
1280.25977,erythromycin,S
1280.25977,tetracycline,S
1280.25978,ciprofloxacin,S
1280.25978,erythromycin,S
1280.25978,tetracycline,S
1280.25979,ciprofloxacin,S
1280.25979,erythromycin,S
1280.25979,tetracycline,S
1280.25980,ciprofloxacin,S
1280.25980,erythromycin,S
1280.25980,tetracycline,S
1280.25981,ciprofloxacin,S
1280.25981,erythromycin,S
1280.25981,tetracycline,S
1280.25982,ciprofloxacin,S
1280.25982,erythromycin,S
1280.25982,tetracycline,R
1280.25983,ciprofloxacin,S
1280.25983,erythromycin,S
1280.25983,tetracycline,S
1280.25984,ciprofloxacin,S
1280.25984,erythromycin,S
1280.25984,tetracycline,S
1280.25985,ciprofloxacin,S
1280.25985,erythromycin,S
1280.25985,tetracycline,S
1280.25986,ciprofloxacin,S
1280.25986,erythromycin,R
1280.25986,tetracycline,S
1280.25987,ciprofloxacin,S
1280.25987,erythromycin,S
1280.25987,tetracycline,S
1280.25988,ciprofloxacin,S
1280.25988,erythromycin,S
1280.25988,tetracycline,R
1280.25989,ciprofloxacin,S
1280.25989,erythromycin,S
1280.25989,tetracycline,S
1280.25990,ciprofloxacin,S
1280.25990,erythromycin,S
1280.25990,tetracycline,S
1280.25991,ciprofloxacin,S
1280.25991,erythromycin,S
1280.25991,tetracycline,S
1280.25992,ciprofloxacin,S
1280.25992,erythromycin,S
1280.25992,tetracycline,S
1280.25993,ciprofloxacin,S
1280.25993,erythromycin,S
1280.25993,tetracycline,S
1280.25994,ciprofloxacin,S
1280.25994,erythromycin,S
1280.25994,tetracycline,S
1280.25995,ciprofloxacin,S
1280.25995,erythromycin,S
1280.25995,tetracycline,S
1280.25996,ciprofloxacin,S
1280.25996,erythromycin,S
1280.25996,tetracycline,S
1280.25997,ciprofloxacin,S
1280.25997,erythromycin,S
1280.25997,tetracycline,S
1280.25998,ciprofloxacin,S
1280.25998,erythromycin,S
1280.25998,tetracycline,S
1280.25999,ciprofloxacin,S
1280.25999,erythromycin,R
1280.25999,tetracycline,S
1280.26000,ciprofloxacin,S
1280.26000,erythromycin,S
1280.26000,tetracycline,S
1280.26001,ciprofloxacin,S
1280.26001,erythromycin,S
1280.26001,tetracycline,S
1280.26002,ciprofloxacin,S
1280.26002,erythromycin,S
1280.26002,tetracycline,S
1280.26003,ciprofloxacin,S
1280.26003,erythromycin,S
1280.26003,tetracycline,S
1280.26004,ciprofloxacin,S
1280.26004,erythromycin,S
1280.26004,tetracycline,S
1280.26005,ciprofloxacin,S
1280.26005,erythromycin,S
1280.26005,tetracycline,S
1280.26006,ciprofloxacin,S
1280.26006,erythromycin,R
1280.26006,tetracycline,S
1280.26007,ciprofloxacin,S
1280.26007,erythromycin,S
1280.26007,tetracycline,S
1280.26008,ciprofloxacin,S
1280.26008,erythromycin,S
1280.26008,tetracycline,S
1280.26009,ciprofloxacin,S
1280.26009,erythromycin,S
1280.26009,tetracycline,S
1280.26010,ciprofloxacin,S
1280.26010,erythromycin,S
1280.26010,tetracycline,S
1280.26011,ciprofloxacin,S
1280.26011,erythromycin,S
1280.26011,tetracycline,S
1280.26012,ciprofloxacin,S
1280.26012,erythromycin,S
1280.26012,tetracycline,S
1280.26013,ciprofloxacin,S
1280.26013,erythromycin,S
1280.26013,tetracycline,S
1280.26014,ciprofloxacin,S
1280.26014,erythromycin,S
1280.26014,tetracycline,S
1280.26015,ciprofloxacin,S
1280.26015,erythromycin,S
1280.26015,tetracycline,S
1280.26016,ciprofloxacin,R
1280.26016,erythromycin,R
1280.26016,tetracycline,S
1280.26017,ciprofloxacin,S
1280.26017,erythromycin,R
1280.26017,tetracycline,S
1280.26018,ciprofloxacin,S
1280.26018,erythromycin,S
1280.26018,tetracycline,S
1280.26019,ciprofloxacin,S
1280.26019,erythromycin,S
1280.26019,tetracycline,S
1280.26020,ciprofloxacin,S
1280.26020,erythromycin,S
1280.26020,tetracycline,S
1280.26021,ciprofloxacin,S
1280.26021,erythromycin,S
1280.26021,tetracycline,S
1280.26022,ciprofloxacin,S
1280.26022,erythromycin,S
1280.26022,tetracycline,S
1280.26023,ciprofloxacin,S
1280.26023,erythromycin,S
1280.26023,tetracycline,S
1280.26024,ciprofloxacin,S
1280.26024,erythromycin,S
1280.26024,tetracycline,S
1280.26025,ciprofloxacin,S
1280.26025,erythromycin,S
1280.26025,tetracycline,S
1280.26026,ciprofloxacin,S
1280.26026,erythromycin,S
1280.26026,tetracycline,S
1280.26027,ciprofloxacin,S
1280.26027,erythromycin,S
1280.26027,tetracycline,S
1280.26028,ciprofloxacin,S
1280.26028,erythromycin,S
1280.26028,tetracycline,R
1280.26029,ciprofloxacin,S
1280.26029,erythromycin,S
1280.26029,tetracycline,S
1280.26030,ciprofloxacin,S
1280.26030,erythromycin,S
1280.26030,tetracycline,S
1280.26031,ciprofloxacin,S
1280.26031,erythromycin,S
1280.26031,tetracycline,S
1280.26032,ciprofloxacin,S
1280.26032,erythromycin,S
1280.26032,tetracycline,R
1280.26033,ciprofloxacin,S
1280.26033,erythromycin,S
1280.26033,tetracycline,S
1280.26034,ciprofloxacin,S
1280.26034,erythromycin,S
1280.26034,tetracycline,R
1280.26035,ciprofloxacin,S
1280.26035,erythromycin,S
1280.26035,tetracycline,S
1280.26036,ciprofloxacin,S
1280.26036,erythromycin,S
1280.26036,tetracycline,S
1280.26037,ciprofloxacin,S
1280.26037,erythromycin,S
1280.26037,tetracycline,S
1280.26038,ciprofloxacin,S
1280.26038,erythromycin,S
1280.26038,tetracycline,S
1280.26039,ciprofloxacin,S
1280.26039,erythromycin,R
1280.26039,tetracycline,R
1280.26040,ciprofloxacin,S
1280.26040,erythromycin,S
1280.26040,tetracycline,S
1280.26041,ciprofloxacin,S
1280.26041,erythromycin,S
1280.26041,tetracycline,S
1280.26042,ciprofloxacin,S
1280.26042,erythromycin,S
1280.26042,tetracycline,S
1280.26043,ciprofloxacin,S
1280.26043,erythromycin,S
1280.26043,tetracycline,S
1280.26044,ciprofloxacin,S
1280.26044,erythromycin,S
1280.26044,tetracycline,S
1280.26045,ciprofloxacin,S
1280.26045,erythromycin,R
1280.26045,tetracycline,S
1280.26046,ciprofloxacin,S
1280.26046,erythromycin,S
1280.26046,tetracycline,S
1280.26047,ciprofloxacin,S
1280.26047,erythromycin,R
1280.26047,tetracycline,S
1280.26048,ciprofloxacin,S
1280.26048,erythromycin,S
1280.26048,tetracycline,S
1280.26049,ciprofloxacin,S
1280.26049,erythromycin,S
1280.26049,tetracycline,S
1280.26050,ciprofloxacin,S
1280.26050,erythromycin,S
1280.26050,tetracycline,S
1280.26051,ciprofloxacin,S
1280.26051,erythromycin,S
1280.26051,tetracycline,S
1280.26052,ciprofloxacin,S
1280.26052,erythromycin,S
1280.26052,tetracycline,S
1280.26053,ciprofloxacin,S
1280.26053,erythromycin,S
1280.26053,tetracycline,S
1280.26054,ciprofloxacin,S
1280.26054,erythromycin,S
1280.26054,tetracycline,S
1280.26055,ciprofloxacin,S
1280.26055,erythromycin,S
1280.26055,tetracycline,S
1280.26056,ciprofloxacin,S
1280.26056,erythromycin,S
1280.26056,tetracycline,S
1280.26057,ciprofloxacin,S
1280.26057,erythromycin,S
1280.26057,tetracycline,R
1280.26058,ciprofloxacin,S
1280.26058,erythromycin,S
1280.26058,tetracycline,S
1280.26059,ciprofloxacin,S
1280.26059,erythromycin,S
1280.26059,tetracycline,S
1280.26060,ciprofloxacin,S
1280.26060,erythromycin,S
1280.26060,tetracycline,S
1280.26061,ciprofloxacin,S
1280.26061,erythromycin,S
1280.26061,tetracycline,S
1280.26062,ciprofloxacin,S
1280.26062,erythromycin,S
1280.26062,tetracycline,S
1280.26063,ciprofloxacin,S
1280.26063,erythromycin,S
1280.26063,tetracycline,S
1280.26064,ciprofloxacin,S
1280.26064,erythromycin,S
1280.26064,tetracycline,S
1280.26065,ciprofloxacin,S
1280.26065,erythromycin,S
1280.26065,tetracycline,S
1280.26066,ciprofloxacin,S
1280.26066,erythromycin,S
1280.26066,tetracycline,S
1280.26067,ciprofloxacin,S
1280.26067,erythromycin,S
1280.26067,tetracycline,S
1280.26068,ciprofloxacin,S
1280.26068,erythromycin,S
1280.26068,tetracycline,S
1280.26069,ciprofloxacin,S
1280.26069,erythromycin,S
1280.26069,tetracycline,S
1280.26070,ciprofloxacin,S
1280.26070,erythromycin,S
1280.26070,tetracycline,S
1280.26074,cefoxitin,R
1280.26074,ciprofloxacin,R
1280.26074,erythromycin,R
1280.26074,tetracycline,S
1280.26075,cefoxitin,R
1280.26075,ciprofloxacin,R
1280.26075,erythromycin,R
1280.26075,tetracycline,S
1280.26076,cefoxitin,R
1280.26076,ciprofloxacin,R
1280.26076,erythromycin,R
1280.26076,tetracycline,S
1280.26077,cefoxitin,R
1280.26077,ciprofloxacin,R
1280.26077,erythromycin,R
1280.26077,tetracycline,S
1280.26078,cefoxitin,R
1280.26078,ciprofloxacin,R
1280.26078,erythromycin,R
1280.26078,tetracycline,S
1280.26079,cefoxitin,R
1280.26079,ciprofloxacin,R
1280.26079,erythromycin,R
1280.26079,tetracycline,S
1280.26080,cefoxitin,R
1280.26080,ciprofloxacin,R
1280.26080,erythromycin,R
1280.26080,tetracycline,S
1280.26081,cefoxitin,R
1280.26081,ciprofloxacin,R
1280.26081,erythromycin,R
1280.26081,tetracycline,S
1280.26082,cefoxitin,R
1280.26082,ciprofloxacin,R
1280.26082,erythromycin,R
1280.26082,tetracycline,S
1280.26083,cefoxitin,R
1280.26083,ciprofloxacin,R
1280.26083,erythromycin,R
1280.26083,tetracycline,S
1280.26084,cefoxitin,R
1280.26084,ciprofloxacin,R
1280.26084,erythromycin,R
1280.26084,tetracycline,S
1280.26085,cefoxitin,R
1280.26085,ciprofloxacin,R
1280.26085,erythromycin,R
1280.26085,tetracycline,S
1280.26086,cefoxitin,R
1280.26086,ciprofloxacin,R
1280.26086,erythromycin,R
1280.26086,tetracycline,S
1280.26087,cefoxitin,R
1280.26087,ciprofloxacin,R
1280.26087,erythromycin,R
1280.26087,tetracycline,S
1280.26088,cefoxitin,R
1280.26088,ciprofloxacin,R
1280.26088,erythromycin,R
1280.26088,tetracycline,S
1280.26089,cefoxitin,R
1280.26089,ciprofloxacin,R
1280.26089,erythromycin,R
1280.26089,tetracycline,S
1280.26090,cefoxitin,R
1280.26090,ciprofloxacin,R
1280.26090,erythromycin,R
1280.26090,tetracycline,S
1280.26091,cefoxitin,R
1280.26091,ciprofloxacin,R
1280.26091,erythromycin,R
1280.26091,tetracycline,S
1280.26092,cefoxitin,R
1280.26092,ciprofloxacin,R
1280.26092,erythromycin,R
1280.26092,tetracycline,S
1280.26093,cefoxitin,R
1280.26093,ciprofloxacin,R
1280.26093,erythromycin,R
1280.26093,tetracycline,S
1280.26094,cefoxitin,R
1280.26094,ciprofloxacin,R
1280.26094,erythromycin,S
1280.26094,tetracycline,S
1280.26095,cefoxitin,R
1280.26095,ciprofloxacin,R
1280.26095,erythromycin,R
1280.26095,tetracycline,S
1280.26096,cefoxitin,R
1280.26096,ciprofloxacin,R
1280.26096,tetracycline,S
1280.26097,cefoxitin,R
1280.26097,ciprofloxacin,R
1280.26097,tetracycline,S
1280.26098,cefoxitin,R
1280.26098,ciprofloxacin,R
1280.26098,erythromycin,S
1280.26098,tetracycline,S
1280.26099,cefoxitin,R
1280.26099,ciprofloxacin,R
1280.26099,tetracycline,S
1280.26100,cefoxitin,R
1280.26100,ciprofloxacin,R
1280.26100,tetracycline,S
1280.26101,cefoxitin,R
1280.26101,ciprofloxacin,R
1280.26101,erythromycin,R
1280.26101,tetracycline,S
1280.26102,cefoxitin,R
1280.26102,ciprofloxacin,R
1280.26102,tetracycline,S
1280.26103,cefoxitin,R
1280.26103,ciprofloxacin,R
1280.26103,erythromycin,R
1280.26103,tetracycline,S
1280.26104,cefoxitin,R
1280.26104,ciprofloxacin,R
1280.26104,tetracycline,S
1280.26105,cefoxitin,R
1280.26105,ciprofloxacin,R
1280.26105,tetracycline,S
1280.26106,cefoxitin,R
1280.26106,ciprofloxacin,R
1280.26106,tetracycline,S
1280.26107,cefoxitin,R
1280.26107,ciprofloxacin,R
1280.26107,tetracycline,S
1280.26108,cefoxitin,R
1280.26108,ciprofloxacin,R
1280.26108,tetracycline,S
1280.26109,cefoxitin,R
1280.26109,ciprofloxacin,R
1280.26109,tetracycline,S
1280.26110,cefoxitin,R
1280.26110,ciprofloxacin,R
1280.26110,tetracycline,S
1280.26111,cefoxitin,R
1280.26111,ciprofloxacin,R
1280.26111,tetracycline,S
1280.26112,cefoxitin,R
1280.26112,ciprofloxacin,R
1280.26112,tetracycline,S
1280.26113,cefoxitin,R
1280.26113,ciprofloxacin,R
1280.26113,tetracycline,S
1280.26114,cefoxitin,R
1280.26114,ciprofloxacin,R
1280.26114,tetracycline,S
1280.26115,cefoxitin,R
1280.26115,ciprofloxacin,R
1280.26115,tetracycline,S
1280.26116,cefoxitin,R
1280.26116,ciprofloxacin,R
1280.26116,tetracycline,S
1280.26117,cefoxitin,R
1280.26117,ciprofloxacin,R
1280.26117,tetracycline,S
1280.26118,cefoxitin,R
1280.26118,ciprofloxacin,R
1280.26118,tetracycline,S
1280.29683,cefoxitin,R
1280.29683,ciprofloxacin,S
1280.29683,erythromycin,R
1280.29683,tetracycline,S
1280.29684,cefoxitin,R
1280.29684,ciprofloxacin,R
1280.29684,erythromycin,R
1280.29684,tetracycline,S
1280.29685,cefoxitin,R
1280.29685,ciprofloxacin,S
1280.29685,erythromycin,S
1280.29685,tetracycline,S
1280.29686,cefoxitin,R
1280.29686,ciprofloxacin,R
1280.29686,erythromycin,R
1280.29686,tetracycline,S
1280.29687,cefoxitin,R
1280.29687,ciprofloxacin,R
1280.29687,erythromycin,R
1280.29687,tetracycline,R
1280.29688,cefoxitin,R
1280.29688,ciprofloxacin,R
1280.29688,erythromycin,S
1280.29688,tetracycline,S
1280.29689,cefoxitin,R
1280.29689,ciprofloxacin,R
1280.29689,erythromycin,R
1280.29689,tetracycline,S
1280.29690,cefoxitin,R
1280.29690,ciprofloxacin,R
1280.29690,erythromycin,R
1280.29690,tetracycline,S
1280.29691,cefoxitin,R
1280.29691,ciprofloxacin,S
1280.29691,erythromycin,S
1280.29691,tetracycline,S
1280.29692,cefoxitin,R
1280.29692,ciprofloxacin,S
1280.29692,erythromycin,S
1280.29692,tetracycline,S
1280.29693,cefoxitin,R
1280.29693,ciprofloxacin,R
1280.29693,erythromycin,S
1280.29693,tetracycline,S
1280.29694,cefoxitin,R
1280.29694,ciprofloxacin,R
1280.29694,erythromycin,R
1280.29694,tetracycline,S
1280.29695,cefoxitin,R
1280.29695,ciprofloxacin,R
1280.29695,erythromycin,R
1280.29695,tetracycline,S
1280.29696,cefoxitin,R
1280.29696,ciprofloxacin,S
1280.29696,erythromycin,S
1280.29696,tetracycline,S
1280.29697,cefoxitin,R
1280.29697,ciprofloxacin,R
1280.29697,erythromycin,R
1280.29697,tetracycline,S
1280.29698,cefoxitin,R
1280.29698,ciprofloxacin,R
1280.29698,erythromycin,S
1280.29698,tetracycline,S
1280.29699,cefoxitin,R
1280.29699,ciprofloxacin,R
1280.29699,erythromycin,R
1280.29699,tetracycline,S
1280.29700,cefoxitin,R
1280.29700,ciprofloxacin,S
1280.29700,erythromycin,S
1280.29700,tetracycline,S
1280.29701,cefoxitin,R
1280.29701,ciprofloxacin,S
1280.29701,erythromycin,R
1280.29701,tetracycline,S
1280.29702,cefoxitin,R
